Beef Tacos,"Ground beef: 300 grams; Taco shells: 4; Lettuce: 1 cup shredded; Tomato: 1 diced; Cheese: 50 grams shredded; Sour cream: 2 tbsp","Brown the ground beef in a skillet. Warm taco shells, then fill with beef, lettuce, tomato, cheese, and sour cream.",450,"Quick; Comfort food; Spicy; Mexican; Kid-friendly; Savory; Low-carb; Family-friendly; Easy; Street food","Mexican","Main Course",10,15
Chicken Parmesan,"Chicken breast: 2 pieces; Tomato sauce: 1 cup; Mozzarella cheese: 100 grams; Parmesan cheese: 50 grams; Spaghetti: 200 grams","Bread the chicken and bake until golden. Top with tomato sauce and cheese, then bake again until cheese melts. Serve over spaghetti.",700,"Classic; Comfort food; Cheesy; Italian; Kid-friendly; Hearty; Family favorite; High-protein; Savory; Mediterranean","Italian","Main Course",20,30
Mushroom Risotto,"Arborio rice: 1 cup; Mushrooms: 200 grams sliced; Onion: 1 diced; Parmesan cheese: 50 grams; Vegetable broth: 4 cups","Sauté onions and mushrooms in butter. Add rice and vegetable broth, stirring frequently. Cook until rice is creamy and tender. Top with parmesan cheese.",500,"Vegetarian; Creamy; Comfort food; Italian; Hearty; Savory; Low-fat; Quick; Cozy; Elegant","Italian","Main Course",10,30
Eggplant Parmesan,"Eggplant: 2 sliced; Tomato sauce: 2 cups; Mozzarella cheese: 100 grams; Parmesan cheese: 50 grams; Bread crumbs: 1 cup","Bread and bake eggplant slices. Layer with tomato sauce and cheese, then bake until bubbly.",550,"Vegetarian; Comfort food; Italian; Low-carb; Savory; Kid-friendly; Meatless; Hearty; Cheesy; Baked","Italian","Main Course",15,45
Shakshuka,"Eggs: 4; Tomatoes: 2 diced; Onion: 1 diced; Bell pepper: 1 diced; Garlic: 2 cloves; Olive oil: 2 tbsp","Sauté onion, garlic, and bell pepper in olive oil. Add tomatoes and cook until soft. Crack eggs into the mixture and cook until eggs are done. Serve with bread.",350,"Middle Eastern; Breakfast; Spicy; Vegan; Healthy; Light; Comfort food; Quick; Egg-based; Low-calorie","Middle Eastern","Main Course",10,25
Chicken Fajitas,"Chicken breast: 2 sliced; Bell peppers: 2 sliced; Onion: 1 sliced; Fajita seasoning: 1 tbsp; Flour tortillas: 4","Cook chicken, bell peppers, and onions with fajita seasoning. Serve in warm tortillas.",400,"Quick; Spicy; Mexican; Family-friendly; Kid-friendly; Savory; Protein-rich; Low-fat; Comfort food; Easy","Mexican","Main Course",10,20
Stuffed Bell Peppers,"Bell peppers: 4; Ground turkey: 300 grams; Rice: 1/2 cup; Tomato sauce: 1/2 cup; Onion: 1 diced","Stuff bell peppers with a mixture of cooked ground turkey, rice, tomato sauce, and onion. Bake for 25 minutes.",500,"Hearty; Family favorite; Savory; Comfort food; Low-carb; High-protein; Kid-friendly; Easy; Make-ahead; Filling","American","Main Course",15,35
Pasta Primavera,"Pasta: 200 grams; Mixed vegetables (broccoli bell peppers zucchini): 2 cups; Garlic: 2 cloves; Parmesan cheese: 50 grams; Olive oil: 2 tbsp","Cook pasta. Sauté vegetables and garlic in olive oil. Combine pasta and vegetables, then top with parmesan cheese.",450,"Vegetarian; Fresh; Italian; Kid-friendly; Quick; Comfort food; Healthy; Low-calorie; Summer; Easy","Italian","Main Course",10,15
Clam Chowder,"Clams: 300 grams; Potatoes: 2 diced; Onion: 1 diced; Heavy cream: 1 cup; Vegetable broth: 2 cups","Sauté onion and potatoes. Add broth and simmer until potatoes are tender. Add clams and cream, cook for 10 minutes.",600,"Hearty; Comfort food; Creamy; Seafood; Classic; Savory; Filling; Low-carb; Winter; Rich","American","Main Course",15,30
Vegetable Curry,"Carrot: 1 diced; Potato: 1 diced; Cauliflower: 1 cup; Coconut milk: 1 cup; Curry powder: 2 tbsp","Sauté vegetables, add curry powder, and cook until fragrant. Add coconut milk and simmer until vegetables are tender.",400,"Vegan; Spicy; Comfort food; Healthy; Low-calorie; Indian; Savory; Filling; Protein-rich; Dairy-free","Indian","Main Course",15,30
BBQ Chicken,"Chicken thighs: 4; BBQ sauce: 1/2 cup; Olive oil: 2 tbsp; Garlic powder: 1 tsp; Onion powder: 1 tsp","Season chicken with garlic and onion powder, then grill or bake with BBQ sauce until cooked through.",500,"Grilled; Savory; Spicy; Kid-friendly; Comfort food; Summer; Easy; Quick; Protein-rich; Party food","American","Main Course",10,25
Beef Stroganoff,"Beef strips: 300 grams; Onion: 1 diced; Mushrooms: 100 grams sliced; Sour cream: 1/2 cup; Beef broth: 1 cup; Egg noodles: 200 grams","Cook beef and onions, add mushrooms and broth, simmer, then stir in sour cream. Serve over egg noodles.",600,"Classic; Comfort food; Hearty; Russian; Savory; Creamy; Kid-friendly; Quick; Protein-rich; Family favorite","Russian","Main Course",15,30
Falafel,"Chickpeas: 1 can; Onion: 1 diced; Garlic: 2 cloves; Cumin: 1 tsp; Coriander: 1 tsp; Parsley: 1/4 cup","Blend chickpeas with onions, garlic, and spices. Form into balls and fry until golden.",350,"Vegan; Middle Eastern; Spicy; Vegetarian; Healthy; Comfort food; Protein-rich; Savory; Quick; Street food","Middle Eastern","Main Course",10,20
Chicken Caesar Salad,"Chicken breast: 2 grilled; Romaine lettuce: 4 cups; Caesar dressing: 1/4 cup; Parmesan cheese: 2 tbsp; Croutons: 1/2 cup","Grill chicken and slice. Toss lettuce, dressing, cheese, and croutons together. Top with chicken.",400,"Quick; Healthy; Savory; Low-carb; Protein-rich; Mediterranean; Kid-friendly; Light; Comfort food; Salad","American","Main Course",10,20
Salmon with Asparagus,"Salmon fillets: 2; Asparagus: 1 bunch; Olive oil: 2 tbsp; Lemon: 1 sliced","Drizzle salmon and asparagus with olive oil. Bake at 400°F for 15 minutes. Serve with lemon slices.",500,"Healthy; Quick; Protein-rich; Low-carb; Savory; Light; Seafood; Easy; Gluten-free; Mediterranean","Mediterranean","Main Course",10,20
